Date,Metric,Region,Product Category,Customer Segment,Marketing Channel,Product Seasonality,customer_segment,Value,YearMonth
2024-02-11,Campaign Conversion Rate,North,Beer,Low-Value,SMS,Spring,Low Value,95.96,2024-02
2024-02-12,Campaign Conversion Rate,North,Beer,Low-Value,Direct Mail,Spring,High Value,132.24,2024-02
2024-02-13,Campaign Conversion Rate,North,Wine,High-Value,Email,Winter,Low Value,91.86,2024-02
2024-02-14,Campaign Conversion Rate,North,Wine,High-Value,Social Media,Summer,Low Value,122.5,2024-02
2024-02-15,Campaign Conversion Rate,North,Wine,High-Value,SMS,Winter,Low Value,116.72,2024-02
2024-02-16,Campaign Conversion Rate,North,Wine,High-Value,Direct Mail,Spring,High Value,136.22,2024-02
2024-02-17,Campaign Conversion Rate,North,Wine,Medium-Value,Email,Fall,Mid Value,103.8,2024-02
2024-02-18,Campaign Conversion Rate,North,Wine,Medium-Value,Social Media,Winter,Mid Value,148.95,2024-02
2024-02-19,Campaign Conversion Rate,North,Wine,Medium-Value,SMS,Fall,High Value,87.15,2024-02
2024-02-20,Campaign Conversion Rate,North,Wine,Medium-Value,Direct Mail,Fall,Low Value,98.94,2024-02
2024-02-21,Campaign Conversion Rate,North,Wine,Low-Value,Email,Winter,High Value,99.26,2024-02
2024-02-22,Campaign Conversion Rate,North,Wine,Low-Value,Social Media,Fall,Low Value,133.82,2024-02
2024-02-23,Campaign Conversion Rate,North,Wine,Low-Value,SMS,Winter,Low Value,135.98,2024-02
2024-02-24,Campaign Conversion Rate,North,Wine,Low-Value,Direct Mail,Summer,Mid Value,82.82,2024-02
2024-02-25,Campaign Conversion Rate,North,Spirits,High-Value,Email,Spring,Low Value,126.24,2024-02
2024-02-26,Campaign Conversion Rate,North,Spirits,High-Value,Social Media,Winter,High Value,69.64,2024-02
2024-02-27,Campaign Conversion Rate,North,Spirits,High-Value,SMS,Spring,Low Value,67.55,2024-02
2024-02-28,Campaign Conversion Rate,North,Spirits,High-Value,Direct Mail,Spring,Low Value,107.93,2024-02
2024-03-01,Product Affinity Score,North,Beer,High-Value,Email,Winter,Low Value,72.27,2024-03
2024-03-02,Product Affinity Score,North,Beer,High-Value,Social Media,Winter,Mid Value,104.65,2024-03
2024-03-03,Product Affinity Score,North,Beer,High-Value,SMS,Spring,High Value,66.02,2024-03
2024-03-04,Product Affinity Score,North,Beer,High-Value,Direct Mail,Winter,Low Value,91.81,2024-03
2024-03-05,Product Affinity Score,North,Beer,Medium-Value,Email,Spring,Mid Value,139.8,2024-03
2024-03-06,Product Affinity Score,North,Beer,Medium-Value,Social Media,Fall,Mid Value,89.31,2024-03
2024-03-07,Product Affinity Score,North,Beer,Medium-Value,SMS,Fall,Low Value,51.66,2024-03
2024-03-08,Product Affinity Score,North,Beer,Medium-Value,Direct Mail,Winter,Low Value,110.24,2024-03
2024-03-09,Product Affinity Score,North,Beer,Low-Value,Email,Spring,Low Value,171.34,2024-03
2024-03-10,Product Affinity Score,North,Beer,Low-Value,Social Media,Spring,Low Value,147.47,2024-03
2024-03-11,Product Affinity Score,North,Beer,Low-Value,SMS,Winter,High Value,73.15,2024-03
2024-03-12,Product Affinity Score,North,Beer,Low-Value,Direct Mail,Fall,Mid Value,142.65,2024-03
2024-03-13,Product Affinity Score,North,Wine,High-Value,Email,Summer,Low Value,114.2,2024-03
2024-03-14,Product Affinity Score,North,Wine,High-Value,Social Media,Fall,Mid Value,186.01,2024-03
2024-03-15,Product Affinity Score,North,Wine,High-Value,SMS,Summer,Mid Value,51.13,2024-03
2024-03-16,Product Affinity Score,North,Wine,High-Value,Direct Mail,Winter,High Value,168.41,2024-03
2024-03-17,Product Affinity Score,North,Wine,Medium-Value,Email,Summer,Mid Value,89.77,2024-03
2024-03-18,Product Affinity Score,North,Wine,Medium-Value,Social Media,Spring,Mid Value,104.42,2024-03
2024-03-19,Product Affinity Score,North,Wine,Medium-Value,SMS,Spring,Mid Value,120.94,2024-03
2024-03-20,Product Affinity Score,North,Wine,Medium-Value,Direct Mail,Winter,Low Value,140.42,2024-03
2024-03-21,Product Affinity Score,North,Wine,Low-Value,Email,Fall,Mid Value,104.99,2024-03
2024-03-22,Product Affinity Score,North,Wine,Low-Value,Social Media,Fall,Mid Value,92.61,2024-03
2024-03-23,Product Affinity Score,North,Wine,Low-Value,SMS,Spring,High Value,130.56,2024-03
2024-03-24,Product Affinity Score,North,Wine,Low-Value,Direct Mail,Winter,High Value,72.61,2024-03
2024-03-25,Product Affinity Score,North,Spirits,High-Value,Email,Summer,Low Value,143.04,2024-03
2024-03-26,Product Affinity Score,North,Spirits,High-Value,Social Media,Winter,Low Value,95.01,2024-03
2024-03-27,Product Affinity Score,North,Spirits,High-Value,SMS,Summer,High Value,137.07,2024-03
2024-03-28,Product Affinity Score,North,Spirits,High-Value,Direct Mail,Winter,Mid Value,71.11,2024-03
2024-03-29,Product Affinity Score,North,Spirits,Medium-Value,Email,Spring,Mid Value,55.13,2024-03
2024-03-30,Product Affinity Score,North,Spirits,Medium-Value,Social Media,Winter,Mid Value,94.21,2024-03
2024-03-01,Customer Engagement Score,North,Beer,High-Value,Email,Winter,High Value,58.61,2024-03
2024-03-02,Customer Engagement Score,North,Beer,High-Value,Social Media,Summer,High Value,78.03,2024-03
2024-03-03,Customer Engagement Score,North,Beer,High-Value,SMS,Summer,High Value,93.99,2024-03
2024-03-04,Customer Engagement Score,North,Beer,High-Value,Direct Mail,Spring,High Value,88.1,2024-03
2024-03-05,Customer Engagement Score,North,Beer,Medium-Value,Email,Fall,Low Value,109.95,2024-03
2024-03-06,Customer Engagement Score,North,Beer,Medium-Value,Social Media,Summer,High Value,88.32,2024-03
2024-03-07,Customer Engagement Score,North,Beer,Medium-Value,SMS,Fall,Mid Value,218.72,2024-03
2024-03-08,Customer Engagement Score,North,Beer,Medium-Value,Direct Mail,Spring,Mid Value,132.63,2024-03
2024-03-09,Customer Engagement Score,North,Beer,Low-Value,Email,Spring,Low Value,85.31,2024-03
2024-03-10,Customer Engagement Score,North,Beer,Low-Value,Social Media,Spring,Low Value,105.47,2024-03
2024-03-11,Customer Engagement Score,North,Beer,Low-Value,SMS,Winter,Mid Value,113.15,2024-03
2024-03-12,Customer Engagement Score,North,Beer,Low-Value,Direct Mail,Summer,High Value,109.86,2024-03
2024-03-13,Customer Engagement Score,North,Wine,High-Value,Email,Spring,Low Value,145.79,2024-03
2024-03-14,Customer Engagement Score,North,Wine,High-Value,Social Media,Winter,Low Value,110.51,2024-03
2024-03-15,Customer Engagement Score,North,Wine,High-Value,SMS,Fall,Mid Value,112.57,2024-03
2024-03-16,Customer Engagement Score,North,Wine,High-Value,Direct Mail,Fall,High Value,68.48,2024-03
2024-03-17,Customer Engagement Score,North,Wine,Medium-Value,Email,Summer,Mid Value,110.44,2024-03
2024-03-18,Customer Engagement Score,North,Wine,Medium-Value,Social Media,Summer,Low Value,102.34,2024-03
2024-03-19,Customer Engagement Score,North,Wine,Medium-Value,SMS,Winter,Mid Value,116.65,2024-03
2024-03-20,Customer Engagement Score,North,Wine,Medium-Value,Direct Mail,Fall,High Value,94.18,2024-03
2024-03-21,Customer Engagement Score,North,Wine,Low-Value,Email,Winter,High Value,68.45,2024-03
2024-03-22,Customer Engagement Score,North,Wine,Low-Value,Social Media,Summer,Low Value,88.67,2024-03
2024-03-23,Customer Engagement Score,North,Wine,Low-Value,SMS,Spring,High Value,89.78,2024-03
2024-03-24,Customer Engagement Score,North,Wine,Low-Value,Direct Mail,Winter,High Value,98.33,2024-03
2024-03-25,Customer Engagement Score,North,Spirits,High-Value,Email,Fall,High Value,133.91,2024-03
2024-03-26,Customer Engagement Score,North,Spirits,High-Value,Social Media,Winter,Mid Value,100.57,2024-03
2024-03-27,Customer Engagement Score,North,Spirits,High-Value,SMS,Winter,High Value,57.12,2024-03
2024-03-28,Customer Engagement Score,North,Spirits,High-Value,Direct Mail,Summer,High Value,106.6,2024-03
2024-03-29,Customer Engagement Score,North,Spirits,Medium-Value,Email,Fall,High Value,105.79,2024-03
2024-03-30,Customer Engagement Score,North,Spirits,Medium-Value,Social Media,Summer,High Value,54.87,2024-03
2024-03-01,CLV,North,Beer,High-Value,Email,Summer,High Value,142.07,2024-03
2024-03-02,CLV,North,Beer,High-Value,Social Media,Summer,Low Value,55.47,2024-03
2024-03-03,CLV,North,Beer,High-Value,SMS,Fall,Low Value,91.87,2024-03
2024-03-04,CLV,North,Beer,High-Value,Direct Mail,Winter,Mid Value,50.02,2024-03
2024-03-05,CLV,North,Beer,Medium-Value,Email,Fall,Mid Value,134.39,2024-03
2024-03-06,CLV,North,Beer,Medium-Value,Social Media,Winter,High Value,66.78,2024-03
2024-03-07,CLV,North,Beer,Medium-Value,SMS,Spring,High Value,56.76,2024-03
2024-03-08,CLV,North,Beer,Medium-Value,Direct Mail,Winter,Low Value,142.88,2024-03
2024-03-09,CLV,North,Beer,Low-Value,Email,Winter,Mid Value,61.91,2024-03
2024-03-10,CLV,North,Beer,Low-Value,Social Media,Winter,Mid Value,84.88,2024-03
2024-03-11,CLV,North,Beer,Low-Value,SMS,Fall,Low Value,112.13,2024-03
2024-03-12,CLV,North,Beer,Low-Value,Direct Mail,Winter,Mid Value,152.3,2024-03
2024-03-13,CLV,North,Wine,High-Value,Email,Winter,High Value,73.27,2024-03
2024-03-14,CLV,North,Wine,High-Value,Social Media,Summer,High Value,130.51,2024-03
2024-03-15,CLV,North,Wine,High-Value,SMS,Fall,Low Value,130.24,2024-03
2024-03-16,CLV,North,Wine,High-Value,Direct Mail,Fall,Low Value,94.42,2024-03
2024-03-17,CLV,North,Wine,Medium-Value,Email,Fall,High Value,100.89,2024-03
2024-03-18,CLV,North,Wine,Medium-Value,Social Media,Winter,High Value,311.19,2024-03
2024-03-19,CLV,North,Wine,Medium-Value,SMS,Summer,High Value,96.07,2024-03
2024-03-20,CLV,North,Wine,Medium-Value,Direct Mail,Spring,Mid Value,98.32,2024-03
2024-03-21,CLV,North,Wine,Low-Value,Email,Spring,Low Value,125.46,2024-03
2024-03-22,CLV,North,Wine,Low-Value,Social Media,Fall,Low Value,103.84,2024-03
2024-03-23,CLV,North,Wine,Low-Value,SMS,Summer,Low Value,135.75,2024-03
2024-03-24,CLV,North,Wine,Low-Value,Direct Mail,Summer,High Value,120.64,2024-03
2024-03-25,CLV,North,Spirits,High-Value,Email,Spring,Mid Value,50.7,2024-03
2024-03-26,CLV,North,Spirits,High-Value,Social Media,Winter,Low Value,73.48,2024-03
2024-03-27,CLV,North,Spirits,High-Value,SMS,Summer,Low Value,83.73,2024-03
2024-03-28,CLV,North,Spirits,High-Value,Direct Mail,Spring,Mid Value,50.06,2024-03
2024-03-29,CLV,North,Spirits,Medium-Value,Email,Winter,Low Value,74.12,2024-03
2024-03-30,CLV,North,Spirits,Medium-Value,Social Media,Fall,High Value,56.82,2024-03
2024-03-01,Repeat Purchase Rate,North,Beer,High-Value,Email,Spring,High Value,120.09,2024-03
2024-03-02,Repeat Purchase Rate,North,Beer,High-Value,Social Media,Summer,High Value,113.08,2024-03
2024-03-03,Repeat Purchase Rate,North,Beer,High-Value,SMS,Winter,Mid Value,98.2,2024-03
2024-03-04,Repeat Purchase Rate,North,Beer,High-Value,Direct Mail,Summer,Low Value,78.19,2024-03
2024-03-05,Repeat Purchase Rate,North,Beer,Medium-Value,Email,Summer,Mid Value,142.46,2024-03
2024-03-06,Repeat Purchase Rate,North,Beer,Medium-Value,Social Media,Spring,Mid Value,98.56,2024-03
2024-03-07,Repeat Purchase Rate,North,Beer,Medium-Value,SMS,Spring,Low Value,111.04,2024-03
2024-03-08,Repeat Purchase Rate,North,Beer,Medium-Value,Direct Mail,Summer,Mid Value,74.97,2024-03
2024-03-09,Repeat Purchase Rate,North,Beer,Low-Value,Email,Summer,Low Value,135.2,2024-03
2024-03-10,Repeat Purchase Rate,North,Beer,Low-Value,Social Media,Summer,Mid Value,101.47,2024-03
2024-03-11,Repeat Purchase Rate,North,Beer,Low-Value,SMS,Spring,High Value,51.6,2024-03
2024-03-12,Repeat Purchase Rate,North,Beer,Low-Value,Direct Mail,Fall,Low Value,87.7,2024-03
2024-03-13,Repeat Purchase Rate,North,Wine,High-Value,Email,Winter,High Value,57.97,2024-03
2024-03-14,Repeat Purchase Rate,North,Wine,High-Value,Social Media,Spring,Mid Value,143.26,2024-03
2024-03-15,Repeat Purchase Rate,North,Wine,High-Value,SMS,Summer,High Value,62.61,2024-03
2024-03-16,Repeat Purchase Rate,North,Wine,High-Value,Direct Mail,Fall,High Value,126.63,2024-03
2024-03-17,Repeat Purchase Rate,North,Wine,Medium-Value,Email,Summer,Mid Value,137.98,2024-03
2024-03-18,Repeat Purchase Rate,North,Wine,Medium-Value,Social Media,Fall,Mid Value,139.92,2024-03
2024-03-19,Repeat Purchase Rate,North,Wine,Medium-Value,SMS,Summer,Mid Value,63.13,2024-03
2024-03-20,Repeat Purchase Rate,North,Wine,Medium-Value,Direct Mail,Summer,Low Value,70.18,2024-03
2024-03-21,Repeat Purchase Rate,North,Wine,Low-Value,Email,Spring,High Value,126.04,2024-03
2024-03-22,Repeat Purchase Rate,North,Wine,Low-Value,Social Media,Summer,High Value,80.1,2024-03
2024-03-23,Repeat Purchase Rate,North,Wine,Low-Value,SMS,Winter,High Value,125.65,2024-03
2024-03-24,Repeat Purchase Rate,North,Wine,Low-Value,Direct Mail,Fall,Low Value,72.58,2024-03
2024-03-25,Repeat Purchase Rate,North,Spirits,High-Value,Email,Summer,Low Value,54.03,2024-03
2024-03-26,Repeat Purchase Rate,North,Spirits,High-Value,Social Media,Spring,High Value,96.86,2024-03
2024-03-27,Repeat Purchase Rate,North,Spirits,High-Value,SMS,Fall,High Value,148.47,2024-03
2024-03-28,Repeat Purchase Rate,North,Spirits,High-Value,Direct Mail,Fall,Mid Value,63.04,2024-03
2024-03-29,Repeat Purchase Rate,North,Spirits,Medium-Value,Email,Winter,High Value,126.91,2024-03
2024-03-30,Repeat Purchase Rate,North,Spirits,Medium-Value,Social Media,Winter,High Value,163.48,2024-03
2024-03-01,Campaign Conversion Rate,North,Beer,High-Value,Email,Winter,Low Value,81.02,2024-03
2024-03-02,Campaign Conversion Rate,North,Beer,High-Value,Social Media,Summer,High Value,100.41,2024-03
2024-03-03,Campaign Conversion Rate,North,Beer,High-Value,SMS,Winter,Low Value,75.81,2024-03
2024-03-04,Campaign Conversion Rate,North,Beer,High-Value,Direct Mail,Summer,Mid Value,63.33,2024-03
2024-03-05,Campaign Conversion Rate,North,Beer,Medium-Value,Email,Summer,Mid Value,136.77,2024-03
2024-03-06,Campaign Conversion Rate,North,Beer,Medium-Value,Social Media,Fall,Mid Value,60.62,2024-03
2024-03-07,Campaign Conversion Rate,North,Beer,Medium-Value,SMS,Fall,Mid Value,130.8,2024-03
2024-03-08,Campaign Conversion Rate,North,Beer,Medium-Value,Direct Mail,Winter,Low Value,61.4,2024-03
2024-03-09,Campaign Conversion Rate,North,Beer,Low-Value,Email,Spring,High Value,133.43,2024-03
2024-03-10,Campaign Conversion Rate,North,Beer,Low-Value,Social Media,Spring,Mid Value,114.64,2024-03
2024-03-11,Campaign Conversion Rate,North,Beer,Low-Value,SMS,Winter,Low Value,220.04,2024-03
2024-03-12,Campaign Conversion Rate,North,Beer,Low-Value,Direct Mail,Fall,Low Value,58.14,2024-03
2024-03-13,Campaign Conversion Rate,North,Wine,High-Value,Email,Winter,Mid Value,79.27,2024-03
2024-03-14,Campaign Conversion Rate,North,Wine,High-Value,Social Media,Fall,High Value,63.34,2024-03
2024-03-15,Campaign Conversion Rate,North,Wine,High-Value,SMS,Summer,High Value,129.5,2024-03
2024-03-16,Campaign Conversion Rate,North,Wine,High-Value,Direct Mail,Spring,Mid Value,60.43,2024-03
2024-03-17,Campaign Conversion Rate,North,Wine,Medium-Value,Email,Fall,Mid Value,137.71,2024-03
2024-03-18,Campaign Conversion Rate,North,Wine,Medium-Value,Social Media,Winter,High Value,96.73,2024-03
2024-03-19,Campaign Conversion Rate,North,Wine,Medium-Value,SMS,Spring,Low Value,114.96,2024-03
2024-03-20,Campaign Conversion Rate,North,Wine,Medium-Value,Direct Mail,Spring,Low Value,132.82,2024-03
2024-03-21,Campaign Conversion Rate,North,Wine,Low-Value,Email,Fall,Mid Value,57.53,2024-03
2024-03-22,Campaign Conversion Rate,North,Wine,Low-Value,Social Media,Winter,Low Value,54.93,2024-03
2024-03-23,Campaign Conversion Rate,North,Wine,Low-Value,SMS,Summer,Low Value,63.57,2024-03
2024-03-24,Campaign Conversion Rate,North,Wine,Low-Value,Direct Mail,Spring,High Value,88.51,2024-03
2024-03-25,Campaign Conversion Rate,North,Spirits,High-Value,Email,Summer,Mid Value,111.04,2024-03
2024-03-26,Campaign Conversion Rate,North,Spirits,High-Value,Social Media,Fall,High Value,121.04,2024-03
2024-03-27,Campaign Conversion Rate,North,Spirits,High-Value,SMS,Spring,Low Value,123.59,2024-03
2024-03-28,Campaign Conversion Rate,North,Spirits,High-Value,Direct Mail,Spring,Low Value,113.91,2024-03
2024-03-29,Campaign Conversion Rate,North,Spirits,Medium-Value,Email,Summer,Low Value,149.77,2024-03
2024-03-30,Campaign Conversion Rate,North,Spirits,Medium-Value,Social Media,Summer,High Value,77.91,2024-03
2024-04-01,Product Affinity Score,North,Beer,High-Value,Email,Summer,High Value,141.48,2024-04
2024-04-02,Product Affinity Score,North,Beer,High-Value,Social Media,Summer,High Value,145.23,2024-04
2024-04-03,Product Affinity Score,North,Beer,High-Value,SMS,Winter,High Value,113.15,2024-04
2024-04-04,Product Affinity Score,North,Beer,High-Value,Direct Mail,Spring,Low Value,62.94,2024-04
2024-04-05,Product Affinity Score,North,Beer,Medium-Value,Email,Fall,Low Value,59.91,2024-04
2024-04-06,Product Affinity Score,North,Beer,Medium-Value,Social Media,Spring,High Value,94.69,2024-04
2024-04-07,Product Affinity Score,North,Beer,Medium-Value,SMS,Winter,High Value,72.05,2024-04
2024-04-08,Product Affinity Score,North,Beer,Medium-Value,Direct Mail,Fall,Mid Value,90.63,2024-04
2024-04-09,Product Affinity Score,North,Beer,Low-Value,Email,Spring,Mid Value,121.04,2024-04
2024-04-10,Product Affinity Score,North,Beer,Low-Value,Social Media,Spring,Low Value,101.73,2024-04
2024-04-11,Product Affinity Score,North,Beer,Low-Value,SMS,Fall,High Value,148.46,2024-04
2024-04-12,Product Affinity Score,North,Beer,Low-Value,Direct Mail,Fall,Mid Value,78.54,2024-04
2024-04-13,Product Affinity Score,North,Wine,High-Value,Email,Winter,Low Value,60.95,2024-04
2024-04-14,Product Affinity Score,North,Wine,High-Value,Social Media,Winter,Mid Value,67.48,2024-04
2024-04-15,Product Affinity Score,North,Wine,High-Value,SMS,Spring,Mid Value,74.55,2024-04
2024-04-16,Product Affinity Score,North,Wine,High-Value,Direct Mail,Fall,High Value,127.68,2024-04
2024-04-17,Product Affinity Score,North,Wine,Medium-Value,Email,Winter,Mid Value,111.45,2024-04
2024-04-18,Product Affinity Score,North,Wine,Medium-Value,Social Media,Winter,Low Value,57.86,2024-04
2024-04-19,Product Affinity Score,North,Wine,Medium-Value,SMS,Spring,Mid Value,74.83,2024-04
2024-04-20,Product Affinity Score,North,Wine,Medium-Value,Direct Mail,Summer,Mid Value,88.94,2024-04
2024-04-21,Product Affinity Score,North,Wine,Low-Value,Email,Winter,High Value,118.47,2024-04
2024-04-22,Product Affinity Score,North,Wine,Low-Value,Social Media,Spring,Low Value,73.9,2024-04
2024-04-23,Product Affinity Score,North,Wine,Low-Value,SMS,Spring,Low Value,91.11,2024-04
2024-04-24,Product Affinity Score,North,Wine,Low-Value,Direct Mail,Fall,Low Value,51.97,2024-04
2024-04-25,Product Affinity Score,North,Spirits,High-Value,Email,Summer,High Value,146.56,2024-04
2024-04-26,Product Affinity Score,North,Spirits,High-Value,Social Media,Winter,Low Value,182.82,2024-04
2024-04-27,Product Affinity Score,North,Spirits,High-Value,SMS,Summer,High Value,132.54,2024-04
2024-04-28,Product Affinity Score,North,Spirits,High-Value,Direct Mail,Spring,Low Value,65.97,2024-04
2024-04-29,Product Affinity Score,North,Spirits,Medium-Value,Email,Fall,Low Value,236.94,2024-04
2024-04-30,Product Affinity Score,North,Spirits,Medium-Value,Social Media,Winter,Mid Value,80.89,2024-04
2024-04-01,Customer Engagement Score,North,Beer,High-Value,Email,Spring,High Value,95.22,2024-04
2024-04-02,Customer Engagement Score,North,Beer,High-Value,Social Media,Spring,High Value,88.94,2024-04
2024-04-03,Customer Engagement Score,North,Beer,High-Value,SMS,Spring,High Value,81.97,2024-04
2024-04-04,Customer Engagement Score,North,Beer,High-Value,Direct Mail,Fall,High Value,138.13,2024-04
2024-04-05,Customer Engagement Score,North,Beer,Medium-Value,Email,Fall,High Value,58.33,2024-04
2024-04-06,Customer Engagement Score,North,Beer,Medium-Value,Social Media,Summer,Low Value,81.15,2024-04
2024-04-07,Customer Engagement Score,North,Beer,Medium-Value,SMS,Summer,Low Value,94.27,2024-04
2024-04-08,Customer Engagement Score,North,Beer,Medium-Value,Direct Mail,Summer,High Value,127.79,2024-04
2024-04-09,Customer Engagement Score,North,Beer,Low-Value,Email,Fall,Low Value,94.31,2024-04
2024-04-10,Customer Engagement Score,North,Beer,Low-Value,Social Media,Fall,Mid Value,86.73,2024-04
2024-04-11,Customer Engagement Score,North,Beer,Low-Value,SMS,Winter,Mid Value,130.88,2024-04
2024-04-12,Customer Engagement Score,North,Beer,Low-Value,Direct Mail,Summer,Mid Value,102.43,2024-04
2024-04-13,Customer Engagement Score,North,Wine,High-Value,Email,Summer,Low Value,76.94,2024-04
2024-04-14,Customer Engagement Score,North,Wine,High-Value,Social Media,Summer,Low Value,143.34,2024-04
2024-04-15,Customer Engagement Score,North,Wine,High-Value,SMS,Summer,High Value,107.72,2024-04
2024-04-16,Customer Engagement Score,North,Wine,High-Value,Direct Mail,Fall,Low Value,52.93,2024-04
2024-04-17,Customer Engagement Score,North,Wine,Medium-Value,Email,Summer,Mid Value,100.95,2024-04
2024-04-18,Customer Engagement Score,North,Wine,Medium-Value,Social Media,Winter,Mid Value,85.94,2024-04
2024-04-19,Customer Engagement Score,North,Wine,Medium-Value,SMS,Fall,High Value,69.33,2024-04
2024-04-20,Customer Engagement Score,North,Wine,Medium-Value,Direct Mail,Summer,Mid Value,90.87,2024-04
2024-04-21,Customer Engagement Score,North,Wine,Low-Value,Email,Fall,Mid Value,122.55,2024-04
2024-04-22,Customer Engagement Score,North,Wine,Low-Value,Social Media,Fall,Low Value,103.81,2024-04
2024-04-23,Customer Engagement Score,North,Wine,Low-Value,SMS,Spring,High Value,74.31,2024-04
2024-04-24,Customer Engagement Score,North,Wine,Low-Value,Direct Mail,Spring,High Value,66.82,2024-04
2024-04-25,Customer Engagement Score,North,Spirits,High-Value,Email,Spring,High Value,96.07,2024-04
2024-04-26,Customer Engagement Score,North,Spirits,High-Value,Social Media,Summer,Mid Value,74.75,2024-04
2024-04-27,Customer Engagement Score,North,Spirits,High-Value,SMS,Fall,Low Value,115.1,2024-04
2024-04-28,Customer Engagement Score,North,Spirits,High-Value,Direct Mail,Spring,Mid Value,91.77,2024-04
2024-04-29,Customer Engagement Score,North,Spirits,Medium-Value,Email,Spring,Mid Value,77.37,2024-04
2024-04-30,Customer Engagement Score,North,Spirits,Medium-Value,Social Media,Winter,Mid Value,109.63,2024-04
2024-04-01,CLV,North,Beer,High-Value,Email,Summer,Low Value,73.32,2024-04
2024-04-02,CLV,North,Beer,High-Value,Social Media,Fall,Low Value,80.94,2024-04
2024-04-03,CLV,North,Beer,High-Value,SMS,Fall,Mid Value,51.61,2024-04
2024-04-04,CLV,North,Beer,High-Value,Direct Mail,Fall,Mid Value,85.17,2024-04
2024-04-05,CLV,North,Beer,Medium-Value,Email,Summer,Mid Value,57.27,2024-04
2024-04-06,CLV,North,Beer,Medium-Value,Social Media,Winter,Mid Value,71.78,2024-04
2024-04-07,CLV,North,Beer,Medium-Value,SMS,Spring,High Value,130.32,2024-04
2024-04-08,CLV,North,Beer,Medium-Value,Direct Mail,Fall,Mid Value,124.09,2024-04
2024-04-09,CLV,North,Beer,Low-Value,Email,Spring,Low Value,85.55,2024-04
2024-04-10,CLV,North,Beer,Low-Value,Social Media,Fall,Low Value,79.47,2024-04
2024-04-11,CLV,North,Beer,Low-Value,SMS,Summer,Low Value,124.54,2024-04
2024-04-12,CLV,North,Beer,Low-Value,Direct Mail,Fall,High Value,80.28,2024-04
2024-04-13,CLV,North,Wine,High-Value,Email,Summer,High Value,131.8,2024-04
2024-04-14,CLV,North,Wine,High-Value,Social Media,Fall,Low Value,104.51,2024-04
2024-04-15,CLV,North,Wine,High-Value,SMS,Winter,High Value,140.33,2024-04
2024-04-16,CLV,North,Wine,High-Value,Direct Mail,Fall,Low Value,73.21,2024-04
2024-04-17,CLV,North,Wine,Medium-Value,Email,Winter,Low Value,132.37,2024-04
2024-04-18,CLV,North,Wine,Medium-Value,Social Media,Winter,Low Value,91.51,2024-04
2024-04-19,CLV,North,Wine,Medium-Value,SMS,Spring,Low Value,93.78,2024-04
2024-04-20,CLV,North,Wine,Medium-Value,Direct Mail,Summer,Mid Value,79.12,2024-04
2024-04-21,CLV,North,Wine,Low-Value,Email,Spring,High Value,57.55,2024-04
2024-04-22,CLV,North,Wine,Low-Value,Social Media,Spring,High Value,92.77,2024-04
2024-04-23,CLV,North,Wine,Low-Value,SMS,Summer,Mid Value,58.97,2024-04
2024-04-24,CLV,North,Wine,Low-Value,Direct Mail,Summer,High Value,58.97,2024-04
2024-04-25,CLV,North,Spirits,High-Value,Email,Spring,Low Value,130.73,2024-04
2024-04-26,CLV,North,Spirits,High-Value,Social Media,Fall,Mid Value,72.36,2024-04
2024-04-27,CLV,North,Spirits,High-Value,SMS,Summer,Mid Value,84.46,2024-04
2024-04-28,CLV,North,Spirits,High-Value,Direct Mail,Fall,Low Value,106.32,2024-04
2024-04-29,CLV,North,Spirits,Medium-Value,Email,Spring,Low Value,50.38,2024-04
2024-04-30,CLV,North,Spirits,Medium-Value,Social Media,Spring,Low Value,143.84,2024-04
2024-04-01,Repeat Purchase Rate,North,Beer,High-Value,Email,Fall,Mid Value,100.37,2024-04
2024-04-02,Repeat Purchase Rate,North,Beer,High-Value,Social Media,Winter,High Value,107.4,2024-04
2024-04-03,Repeat Purchase Rate,North,Beer,High-Value,SMS,Fall,Mid Value,105.67,2024-04
2024-04-04,Repeat Purchase Rate,North,Beer,High-Value,Direct Mail,Winter,High Value,83.56,2024-04
2024-04-05,Repeat Purchase Rate,North,Beer,Medium-Value,Email,Spring,Low Value,93.28,2024-04
2024-04-06,Repeat Purchase Rate,North,Beer,Medium-Value,Social Media,Fall,High Value,247.3,2024-04
2024-04-07,Repeat Purchase Rate,North,Beer,Medium-Value,SMS,Winter,Mid Value,111.86,2024-04
2024-04-08,Repeat Purchase Rate,North,Beer,Medium-Value,Direct Mail,Summer,Mid Value,58.58,2024-04
2024-04-09,Repeat Purchase Rate,North,Beer,Low-Value,Email,Summer,Mid Value,142.32,2024-04
2024-04-10,Repeat Purchase Rate,North,Beer,Low-Value,Social Media,Spring,High Value,62.71,2024-04
2024-04-11,Repeat Purchase Rate,North,Beer,Low-Value,SMS,Spring,Low Value,109.25,2024-04
2024-04-12,Repeat Purchase Rate,North,Beer,Low-Value,Direct Mail,Winter,Mid Value,54.37,2024-04
2024-04-13,Repeat Purchase Rate,North,Wine,High-Value,Email,Winter,Mid Value,236.45,2024-04
2024-04-14,Repeat Purchase Rate,North,Wine,High-Value,Social Media,Fall,Mid Value,145.9,2024-04
2024-04-15,Repeat Purchase Rate,North,Wine,High-Value,SMS,Summer,Mid Value,76.17,2024-04
